item_name,purchase_qty,assign_qty
SSD WD NVME 2.0 240 GB,5,0
Canon Cartridge 071,6,2
"SATA SSD 2.5""",16,9
DDR 4 RAM 8 GB,115,88
BarCode Label 50*25 MM /2A/2000/Roll/Poly,3,0
Ribbon Resin R55 110*300 M,3,0
Dell Wireless Mouse,10,7
Dell Keboard,135,80
Dell Wired Mouse,100,34
Dell 65 W Adapter with Power Cable,15,5
Dell 130 W Adapter with Power Cable,15,4
DP to VGA Converter,75,25
HDMI to VGA Converter,50,4
CMOS Shell,100,22
USB to LAN,3,1
HP 90 W Adapter with Power Cable,5,1
HP 120 Headset,75,61
